server,source_root,experiment,variant,label,access_ok,parse_error_rate,illegal_chosen_turn_count,avg_ev_gap,challenge_accuracy,bluff_efficiency,win_rate,scorecard_path
hlw4090,experiments_selected,experiments,20260522-vanilla-100g,20260522-vanilla-100g,False,0.001030,1,0.035247,0.330798,0.551402,0.180000,recovery/hlw4090/experiments_selected/experiments/20260522-vanilla-100g/scorecard.md
hlw4090,experiments_selected,experiments,20260523-crc-gra-ablation-200g,final,False,0.000000,1,0.032865,0.614311,0.539124,0.600000,recovery/hlw4090/experiments_selected/experiments/20260523-crc-gra-ablation-200g/action_only_proxy/scorecard.md
hlw4090,experiments_selected,experiments,20260523-crc-gra-ablation-200g,final,False,0.001035,2,0.038639,0.354125,0.519355,0.200000,recovery/hlw4090/experiments_selected/experiments/20260523-crc-gra-ablation-200g/heuristic_target/scorecard.md
hlw4090,experiments_selected,experiments,20260523-crc-gra-ablation-200g,final,False,0.001010,1,0.043660,0.344064,0.550861,0.215000,recovery/hlw4090/experiments_selected/experiments/20260523-crc-gra-ablation-200g/logged_only/scorecard.md
hlw4090,experiments_selected,experiments,20260523-crc-gra-ablation-200g,final,False,0.003256,2,0.031421,0.500000,0.529851,0.355000,recovery/hlw4090/experiments_selected/experiments/20260523-crc-gra-ablation-200g/no_token_localization/scorecard.md
hlw4090,experiments_selected,experiments,20260523-crc-gra-ablation-200g,final,False,0.010989,16,0.030105,0.475066,0.557003,0.425000,recovery/hlw4090/experiments_selected/experiments/20260523-crc-gra-ablation-200g/proxy_target_only/scorecard.md
hlw4090,experiments_selected,experiments,20260523-crc-gra-ablation-200g,final,False,0.002025,3,0.037380,0.397463,0.540670,0.260000,recovery/hlw4090/experiments_selected/experiments/20260523-crc-gra-ablation-200g/random_target/scorecard.md
hlw4090,experiments_selected,experiments,20260523-crc-gra-ablation-smoke,final,True,0.000000,0,0.006604,0.000000,0.250000,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-crc-gra-ablation-smoke/proxy_target_only/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-grpo-200g-formal,final,False,0.000514,1,0.034080,0.363830,0.547170,0.255000,recovery/hlw4090/experiments_selected/experiments/20260523-online-grpo-200g-formal/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-grpo-pilot-3u,final,True,0.000000,0,0.052825,0.500000,0.666667,0.800000,recovery/hlw4090/experiments_selected/experiments/20260523-online-grpo-pilot-3u/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-grpo-smoke-1g,final,True,0.000000,0,0.000000,0.333333,0.333333,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-online-grpo-smoke-1g/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-ppo-200g-formal-v2,final,False,0.000513,1,0.039301,0.338266,0.537867,0.245000,recovery/hlw4090/experiments_selected/experiments/20260523-online-ppo-200g-formal-v2/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-ppo-no4bit-200g-formal,final,True,0.000000,0,0.039436,0.371769,0.575235,0.290000,recovery/hlw4090/experiments_selected/experiments/20260523-online-ppo-no4bit-200g-formal/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-ppo-pilot-no4bit-1024,final,True,0.000000,0,0.032572,0.333333,0.666667,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-online-ppo-pilot-no4bit-1024/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-ppo-pilot-no4bit-192-small,final,True,0.000000,0,0.077264,0.250000,0.666667,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-online-ppo-pilot-no4bit-192-small/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-ppo-pilot-no4bit-small,final,True,0.000000,0,0.103491,0.000000,1.000000,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-online-ppo-pilot-no4bit-small/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-ppo-pilot-parse-192,final,True,0.000000,0,0.011054,0.250000,0.416667,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-online-ppo-pilot-parse-192/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-ppo-smoke-1g-v2,final,True,0.000000,0,0.050261,0.000000,0.666667,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-online-ppo-smoke-1g-v2/scorecard.md
hlw4090,experiments_selected,experiments,20260523-online-ppo-smoke-1g-v3,final,True,0.000000,0,0.016014,0.600000,0.666667,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-online-ppo-smoke-1g-v3/scorecard.md
hlw4090,experiments_selected,experiments,20260523-ppo-smoke-1g,final,True,0.000000,0,0.052715,0.666667,0.500000,0.000000,recovery/hlw4090/experiments_selected/experiments/20260523-ppo-smoke-1g/scorecard.md
hlw4090,experiments_selected,experiments,20260523-vanilla-200g,20260523-vanilla-200g,False,0.001042,2,0.044495,0.367769,0.562300,0.255000,recovery/hlw4090/experiments_selected/experiments/20260523-vanilla-200g/scorecard.md
hlw4090,experiments_selected,experiments,20260524-controlled-best-action-proxy-200g,final,False,0.000442,0,0.032470,0.660305,0.575758,0.615000,recovery/hlw4090/experiments_selected/experiments/20260524-controlled-best-action-proxy-200g/action_only_proxy_rerun_200g/scorecard.md
hlw4090,experiments_selected,experiments,20260524-controlled-best-action-proxy-200g,final,False,0.000426,0,0.033810,0.854922,0.554920,0.555000,recovery/hlw4090/experiments_selected/experiments/20260524-controlled-best-action-proxy-200g/best_main_200g/scorecard.md
hlw4090,experiments_selected,experiments,20260524-scoped-hicra-200g,final,False,0.013397,21,0.030593,0.610561,0.528881,0.620000,recovery/hlw4090/experiments_selected/experiments/20260524-scoped-hicra-200g/scoped_hicra/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-adv-rescue-200g,final,False,0.000554,1,0.039416,0.364683,0.537037,0.160000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-adv-rescue-200g/hicra_clean_filter/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-adv-rescue-200g,final,True,0.000000,0,0.034325,0.532787,0.540950,0.345000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-adv-rescue-200g/scoped_hicra_adv_reshape/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-adv-rescue-200g,final,True,0.000000,0,0.041769,0.326165,0.566667,0.155000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-adv-rescue-200g/scoped_hicra_adv_reshape_clean/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-stability-variants-200g,final,False,1.000000,622,0.068676,0.176471,0.000000,0.070000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-stability-variants-200g/scoped_hicra_mismatch_only/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-stability-variants-200g,final,False,0.008621,16,0.033151,0.587121,0.516297,0.465000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-stability-variants-200g/scoped_hicra_soft_reward/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-stability-variants-200g,final,False,0.002630,5,0.033944,0.959677,0.529630,0.400000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-stability-variants-200g/scoped_hicra_token_only/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-structural-variants-200g,final,False,0.040120,54,0.041967,0.813559,0.554103,0.175000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-structural-variants-200g/scoped_hicra_adv_clip/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-structural-variants-200g,final,False,0.003697,0,0.031913,0.653061,0.538157,0.385000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-structural-variants-200g/scoped_hicra_high_kl/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-structural-variants-200g,final,False,0.061828,64,0.030520,0.557185,0.540385,0.600000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-structural-variants-200g/scoped_hicra_reward_only/scorecard.md
hlw4090,experiments_selected,experiments,20260525-hicra-structural-variants-200g,final,False,0.005541,9,0.033380,0.823864,0.535941,0.460000,recovery/hlw4090/experiments_selected/experiments/20260525-hicra-structural-variants-200g/scoped_hicra_weighted_sum/scorecard.md
hlw4090,experiments_selected,experiments,20260526-action-only-no-match-bonus-200g,final,True,0.000000,0,0.037761,0.334052,0.562410,0.195000,recovery/hlw4090/experiments_selected/experiments/20260526-action-only-no-match-bonus-200g/action_only_proxy_no_match_bonus/scorecard.md
hlw4090,experiments_selected,experiments,20260526-expanded-action-proxy-200g,final,True,0.000000,0,0.036456,0.340956,0.558779,0.215000,recovery/hlw4090/experiments_selected/experiments/20260526-expanded-action-proxy-200g/expanded_action_proxy/scorecard.md
hlw4090,experiments_selected,experiments,20260526-hicra-sequence-dpo-200g,final,False,0.000546,1,0.042327,0.340326,0.577883,0.150000,recovery/hlw4090/experiments_selected/experiments/20260526-hicra-sequence-dpo-200g/hicra_sequence_dpo/scorecard.md
hlw4090,experiments_selected,experiments,20260526-standard-dpo-baseline-200g,final,False,0.002026,3,0.037594,0.358238,0.547101,0.270000,recovery/hlw4090/experiments_selected/experiments/20260526-standard-dpo-baseline-200g/standard_dpo_baseline/scorecard.md
hlw4090,experiments_selected,experiments,20260527-action-loss-only-200g,final,False,0.081789,34,0.033265,0.585271,0.538462,0.325000,recovery/hlw4090/experiments_selected/experiments/20260527-action-loss-only-200g/action_only_proxy_action_loss_only/scorecard.md
hlw4090,experiments_selected,experiments,20260527-action-only-frozen-20260523-restore-200g,final,False,0.001732,1,0.034543,0.670330,0.551780,0.595000,recovery/hlw4090/experiments_selected/experiments/20260527-action-only-frozen-20260523-restore-200g/action_only_proxy_frozen_20260523/scorecard.md
hlw4090,experiments_selected,experiments,20260527-action-only-rerun-300g,final,False,0.069444,171,0.039188,0.609428,0.566703,0.233333,recovery/hlw4090/experiments_selected/experiments/20260527-action-only-rerun-300g/action_only_proxy/scorecard.md
hlw4090,experiments_selected,experiments,20260527-format-plus-action-200g,final,False,0.281813,113,0.041459,0.350763,0.561080,0.200000,recovery/hlw4090/experiments_selected/experiments/20260527-format-plus-action-200g/action_only_proxy_format_plus_action_loss/scorecard.md
hlw4090,experiments_latest,20260617-action-only-frozen-20260523-300g,action_only_proxy_frozen_20260523,final,True,0.000000,0,0.027072,0.666667,0.537862,0.610000,recovery/hlw4090/experiments_latest/20260617-action-only-frozen-20260523-300g/action_only_proxy_frozen_20260523/scorecard.md
