skill_name,death_prob_bucket,avg_shapley_value,sample_count
Aggressive_Deception,0-1/6,-0.048000,750
Aggressive_Deception,1/6-1/3,-0.024138,2900
Aggressive_Deception,1/3-1/2,-0.153333,150
Aggressive_Deception,>1/2,-0.150000,100
Calculated_Bluff,0-1/6,-0.014146,2050
Calculated_Bluff,1/6-1/3,-0.011628,4300
Calculated_Bluff,1/3-1/2,-0.085000,600
Calculated_Bluff,>1/2,-0.100000,150
Logical_Skepticism,0-1/6,-0.048169,10650
Logical_Skepticism,1/6-1/3,-0.039692,16250
Logical_Skepticism,1/3-1/2,-0.097931,1450
Logical_Skepticism,>1/2,-0.068889,450
Strategic_Drain,0-1/6,0.020968,3100
Strategic_Drain,1/6-1/3,0.036944,7200
Strategic_Drain,1/3-1/2,0.038000,500
Strategic_Drain,>1/2,0.000000,150
Truthful_Action,0-1/6,0.079900,10000
Truthful_Action,1/6-1/3,0.105798,27250
Truthful_Action,1/3-1/2,0.203830,2350
Truthful_Action,>1/2,0.238571,700
