skill_name,death_prob_bucket,avg_shapley_value,sample_count
Aggressive_Deception,0-1/6,0.007495,23
Aggressive_Deception,1/6-1/3,0.004072,75
Aggressive_Deception,1/3-1/2,-0.000877,10
Aggressive_Deception,>1/2,-0.016134,7
Calculated_Bluff,0-1/6,0.007204,57
Calculated_Bluff,1/6-1/3,0.004087,140
Calculated_Bluff,1/3-1/2,-0.005677,24
Calculated_Bluff,>1/2,-0.007123,12
Logical_Skepticism,0-1/6,-0.008007,389
Logical_Skepticism,1/6-1/3,-0.009752,574
Logical_Skepticism,1/3-1/2,0.000727,58
Logical_Skepticism,>1/2,-0.003027,25
Null_Probe_Skill,0-1/6,-0.000057,118
Null_Probe_Skill,1/6-1/3,0.000509,251
Null_Probe_Skill,1/3-1/2,-0.005549,21
Null_Probe_Skill,>1/2,0.012793,9
Strategic_Drain,0-1/6,0.008333,125
Strategic_Drain,1/6-1/3,0.004389,267
Strategic_Drain,1/3-1/2,0.000235,28
Strategic_Drain,>1/2,0.001165,10
Truthful_Action,0-1/6,0.023989,372
Truthful_Action,1/6-1/3,0.020991,928
Truthful_Action,1/3-1/2,0.025740,100
Truthful_Action,>1/2,0.018666,34
