skill_name,death_prob_bucket,avg_shapley_value,sample_count
Aggressive_Deception,0-1/6,-0.054667,750
Aggressive_Deception,1/6-1/3,-0.029655,2900
Aggressive_Deception,1/3-1/2,-0.026667,150
Aggressive_Deception,>1/2,0.000000,100
Calculated_Bluff,0-1/6,-0.049268,2050
Calculated_Bluff,1/6-1/3,-0.048837,4300
Calculated_Bluff,1/3-1/2,-0.196667,600
Calculated_Bluff,>1/2,-0.193333,150
Logical_Skepticism,0-1/6,-0.053521,10650
Logical_Skepticism,1/6-1/3,-0.068431,16250
Logical_Skepticism,1/3-1/2,-0.134483,1450
Logical_Skepticism,>1/2,-0.091111,450
Strategic_Drain,0-1/6,0.024516,3100
Strategic_Drain,1/6-1/3,0.005972,7200
Strategic_Drain,1/3-1/2,0.012000,500
Strategic_Drain,>1/2,0.000000,150
Truthful_Action,0-1/6,0.055900,10000
Truthful_Action,1/6-1/3,0.041358,27250
Truthful_Action,1/3-1/2,0.060000,2350
Truthful_Action,>1/2,0.095714,700
